SHIP'S NAME,VESSEL TYPE,WHERE BUILT,YEAR LOST,LOCATION LOST,LATITUDE,LONGITUDE,CONSTRUCTION,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,SHIP VALUE,CARGO VALUE
Marianne Benevento,Bark,,1874,Barnegat Inlet S 15 mi,39.56771,-74.22111,,0,0,0,588,,0.00,0.00
Marion (1938),Barge,"Noank, CT",1935,Manasquan E 4 mi,40.10113,-73.98475,Wood,193.6,35,17.6,954,865,0.00,0.00
Marion O'Boyle,Barge,,1923,"Fenwick Island Shoal, DE",38.63250,-74.64833,,0,0,0,0,,0.00,0.00
Marjory Brown,Schooner,"Wilmington, DE",1913,Perth Amboy,40.45858,-73.56354,,0,0,0,0,,0.00,0.00
Mark Gray,Schooner,"North Weymouth, MA",1901,Toms River LSS S 1.75 mi,39.91106,-74.07568,Wood,124.5,32.4,9.3,308,249,8000.00,0.00
Martin Van Buren,Brig,,1854,Pecks Beach,39.24071,-74.61426,,0,0,0,200,,0.00,0.00
Mary (1841),Schooner,,1841,Cape May ESE,38.58333,-72.50000,,0,0,0,0,,0.00,0.00
Mary (1944),Steamship,,1944,Toms River E,39.86666,-71.88333,,0,0,0,0,,0.00,0.00
Mary E Simmons (1892),Schooner,"Tuckahoe, NJ",1892,Squan Beach LSS N 150 yds,40.12050,-74.02878,,110.3,29.3,8.5,210.55,200,3000.00,1600.00
Mary Emma (1895),Sloop,"New York, NY",1895,Monmouth Beach LSS S 1.5 mi,40.31998,-73.97485,,42.3,15.6,4.5,15.73,14.95,300.00,0.00
Mary F Kelly,Schooner,,1893,Asbury Park  6th Ave,40.225625,-73.997275,,66,21.9,9.1,59.5,56.52,7500.00,200.00
Mary H Keeler,Schooner - Barge,"Bath, ME",1929,Absecon Light,39.37420,-74.34300,Wood,246.2,43.3,19.8,1587,,0.00,0.00
Mary Haley (1886),Schooner,"Dorchester, MD",1886,Toms River LSS S .25 mi,39.93297,-74.07075,Wood,0,0,10,205.05,194.8,2500.00,1000.00
Mary Helena,Schooner,,1879,Toms River LSS N 2 mi,39.96508,-74.06594,,0,0,0,16,,500.00,0.00
Mary Magdalen,Sloop,,1753,Absecon bar,39.37242,-74.39842,,0,0,0,0,,0.00,0.00
Mary Powell,Schooner,,1858,Atlantic City,39.35118,-74.40356,,0,0,0,0,,0.00,0.00
Mary S Roundy,Schooner,,1886,Little Egg LSS NW 1.5 mi,39.51233,-74.33671,,0,0,0,11.16,,1400.00,75.00
Matilda (1833),Brig,,1833,"Long Branch, NJ",40.29166,-73.97500,,0,0,0,0,,0.00,0.00
Mattie B Russell,Schooner,"Westbrook, ME",1897,Ocean City LSS ESE 1.5 mi,39.27345,-74.53455,Wood,115.9,28,14.5,370.12,351.61,4000.00,0.00
Mattie E Tabor,Schooner,"Cherryfield, ME",1885,Chadwick LSS N 1.5 mi,40.00778,-74.05678,Wood,110.2,32.3,7.5,235.28,223.52,6000.00,1200.00
Maurice Tracy,Freighter steam,"Ashtabula, OH",1944,Island Beach E 5 mi,39.88611,-73.97916,,0,0,0,0,,0.00,0.00
Mediator,Steamship,"Brooklyn, NY",1875,Barnegat Inlet N 2 mi,39.78994,-74.01976,,222,37,19.9,1022,,150000.00,50000.00
Melchior,Bark,"Newburyport, MA",1880,Seabright LSS S 1.5 mi,40.35975,-73.97151,,167,30.8,23.6,986,,13000.00,2000.00
Mercator,Brig,,1831,"Long Branch, NJ",40.29166,-73.97981,,0,0,0,0,,0.00,0.00
Mermaid HMS,Merchantman,,1779,Egg Harbor,39.41660,-74.33330,Wood,124,0,0,613,,0.00,0.00
Merrimac (1867),Ship,,1867,Seven Mile Beach,39.06253,-74.73942,,184.8,35.9,24,1097,,0.00,0.00
Meta,Clipper ship,"Damariscotta, ME",1883,Bay Head LSS S 1.5 mi,40.04438,-74.04616,Wood,204,42,28,1812,,25000.00,20000.00
Metropolitan 21,Schooner - Barge,"Baltimore, MD",1926,Barnegat Shoal,39.76541,-74.10105,Wood,196,34.3,17.5,905,773,0.00,0.00
Millie,Sloop,"Noank, CT",1886,Little Egg LSS,39.50750,-74.31190,,0,0,0,20,,1600.00,0.00
Millie R Bohannan,Schooner,,1912,,39.56666,-74.16666,,0,0,0,686,,18000.00,11000.00
Millville,Schooner - Barge,"Millville, NJ",1927,Sea Girt E 4 mi,40.12901,-73.95310,Wood,229.7,37.2,19.3,1213,1093,0.00,0.00
Minerva (1857),Sailing ship,"Bremen, Germany",1857,"Cranberry Inlet, NJ",39.94598,-74.05893,Wood,0,0,0,332,,0.00,0.00
Minnie Aiken,Schooner,,1879,Bonds LSS NE .75 mi,39.53893,-74.24593,,0,0,0,36.67,,3000.00,350.00
Mist (1910),Yacht gas,"Boston, MA",1910,Atlantic City LSS SW 1 mi,39.35356,-74.43176,Wood,50.6,13.6,8.4,23,16,0.00,7000.00
Mohawk (1925),Passenger liner,"Philadelphia, PA",1925,Cape May 14 Foot Bank,39.00166,-74.20660,Steel,367,48.3,20.4,4623,3475,2000000.00,0.00
Mohawk (1935),Passenger liner,"Newport News, VA",1935,"Sea Girt, NJ",40.02444,-73.90444,Steel,387.5,54.3,31.6,5896,3574,2000000.00,0.00
Mohawk RC,Revenue Cutter,"Richmond, VA",1917,Sandy Hook ESE 15 mi,40.41720,-73.74680,Steel,205.6,32,11,980,,0.00,0.00
Montgomery,Steamship,,1877,Cape May NE 38 mi,39.37500,-74.39166,,0,0,0,1100.35,787,0.00,0.00
Moonstone,Yacht / Navy Patrol boat,"Kiel, Germany",1943,"Indian River Inlet, DE E 25 mi",38.60903,-74.59803,Steel,171.9,26.9,10.6,469,379,0.00,0.00
Mortimer Livingston,Ship,"Portsmouth, NH",1863,"Ludlams Beach, NJ",39.15333,-74.68666,Wood,132.3,29.5,12.8,748,,0.00,0.00
N A Farwell,Schooner,"Waldoboro, ME",1877,Barnegat ESE 40 mi,37.78333,-73.50000,Wood,106,28,10,237,,0.00,0.00
N N,Schooner 3 masted,Venersberg,1881,Little Egg LSS N 1.5 mi,39.51670,-74.27963,,96.8,23.5,11.5,181,176,5000.00,100000.00
Nancy Jane,Motor vessel diesel,"South Bristol, ME",1972,Cape May SE 60 mi,38.26212,-74.19359,,0,0,0,0,,0.00,0.00
Nay Aug,Schooner - Barge,"Noank, CT",1932,Cape May N 20 mi,38.96166,-74.66666,,0,0,0,0,,0.00,0.00
Nelfred,Clam dredge,"Bayonne, NJ",1956,Cape May SE 11 mi,38.80166,-74.63444,,0,0,0,0,,0.00,0.00
Nellie S Jerrell,Schooner,"Bridgeton, NJ",1887,Barnegat,39.74611,-74.08888,,0,0,0,0,,0.00,0.00
Nellie Treat,Schooner,"Brewer, ME",1886,Little Egg LSS NE 1 mi,39.51949,-74.29165,,106.2,27.3,9.2,193,,3500.00,1230.00
New Era (1854),Passenger liner,"Bath, ME",1854,Deal Beach,40.22222,-73.99444,,0,0,0,1328,,0.00,0.00
New Orleans,Freighter steam,"Wilmington, DE",1917,Five Fathom Bank,38.68333,-74.85000,,0,0,0,0,,0.00,0.00
New York (1856),Passenger liner,"New York, NY",1856,Barnegat Inlet N 2.5 mi,39.80247,-74.07457,,0,0,15,524,,0.00,0.00
Newport (1888),Steamship,"Chester, PA",1888,Assateague Island E 20 mi,38.08333,-74.83333,,326,38.2,23,1806 ,,0.00,0.00
Newport (1946),Barge,"Sandy Point, ME",1946,Deal Beach E 3.8 mi,40.23277,-73.91000,,229.3,37.9,18.8,1321,1193,0.00,0.00
Nina USS,Tug steam,"Chester, PA",1910,"Metomkin Inlet, DE",38.50888,-74.84250,,0,0,0,0,,0.00,0.00
Norness,Tanker,"Hamburg, Germany",1942,,40.26666,-70.83333,,489.4,65.2,36.2,6007,,0.00,0.00
North America (1843),Packet ship,"New York, NY",1843,Shrewsbury Inlet,40.39666,-73.96666,,184.5,31.5,15.8,610,,0.00,0.00
Northern #29,Barge,"South Jacksonville, FL",1933,Beach Haven E 8 mi,39.53166,-74.06166,Wood,215.5,40.5,16.3,1267,,0.00,0.00
Northern #35,Schooner - Barge,"Manistee, MI",1927,Five Fathom Bank Lightship,38.74166,-74.63055,,0,0,0,0,,0.00,0.00
Northern Pacific,Passenger liner,"Philadelphia, PA",1922,Cape May SE 25 mi,38.63916,-74.39833,,0,0,0,0,,0.00,0.00
Oklahoma,Tanker steam,"Camden, NJ",1914,Seaside Heights E 7 mi,39.94722,-73.91944,Steel,419,55.2,28.8,5853,3795,0.00,0.00
Oliver Scofield,Schooner 3 masted,"Toltenville, NY",1900,"Lavallette City, NJ",39.96592,-74.03275,Wood,130,31.5,14.6,394,374,5000.00,4000.00
Olsen,Clam boat,"St Augustine, FL",1961,Manasquan Inlet SE 1 mi,40.05319,-74.03350,,0,0,0,56,,0.00,0.00
Ontario,Clipper ship,"New Castle, ME",1876,Little Egg Harbor Inlet N 2 mi,39.52500,-74.26166,Wood,198.7,39.7,27.3,1544,,60000.00,125000.00
Onward,Schooner,,1877,Hereford Inlet bar,39.02373,-74.79307,,0,0,0,94,,3000.00,300.00
Oregon SS (1886),Passenger liner,"Glasgow, Scotland",1886,Fire Island Inlet SE 15 mi,40.53333,-72.88333,Steel,520,54,40.75,7375,,1500000.00,500000.00
Orleans,Barge,"Bath, ME",1946,"Long Branch, NJ",40.31702,-73.97274,,244.1,41,19.7,1602,1426,0.00,0.00
Ormond,Schooner - Barge,"Jacksonville, FL",1926,"Highlands, NJ",40.42333,-73.90000,Wood,228.1,37,19.3,1313,1212,0.00,0.00
Osprey (1853),Brig,,1853,Seven Mile Beach,39.07597,-74.72866,,0,0,0,0,,0.00,0.00
Palistine (1896),Schooner,"Greenport, NY",1896,Ocean City LSS SSE 1 mi,39.26740,-74.55258,,55,16.3,5.5,31,29,1000.00,500.00
Palmer,Barge,,1937,Absecon Inlet Bell Buoy E 8.6 mi,39.35527,-74.19194,,39,0,0,0,,0.00,0.00
Palmetto State,Schooner,"Essex, MA",1866,Cape May 2 Mile Beach,38.95444,-74.85000,,0,0,0,0,,0.00,0.00
Pan Pennsylvania,Tanker,"Norfolk, VA",1944,Ambrose Light E 200 mi,40.38888,-69.60833,Steel,516,70,38,11061,,0.00,0.00
Panaud,Schooner,,1868,New Jersey coast,40.38888,-69.60833,,0,0,0,0,,10000.00,0.00
Panchito,Brig,"San Felis, Spain",1888,Ocean City LSS S .75 mi,39.24444,-74.61388,,102.6,42.2,12.4,267,,4000.00,9000.00
Panther,Steamship,"Philadelphia, PA",1872,Squan Beach,39.87330,-74.06206,Iron,0,0,12,699,,0.00,0.00
Park City,Steamship,"Port Jefferson, NY",1951,Manasquan Inlet,40.10185,-74.02540,Wood,143.5,28,9.9,391,208,0.00,0.00
Parkfield,Sailing ship,"St Johns, NS",1883,Little Egg Harbor S 2 mi,39.45833,-74.27222,,200.5,39.6,24,1379,,25000.00,120000.00
Patapsco,Brig,,1847,Brigantine Beach,39.46232,-74.31583,,0,0,0,0,,0.00,0.00
Pattie Morrisette,Barge,"Havre De Grace, MD",1935,Five Fathom Bank Lightship,38.62166,-74.71666,,0,0,0,0,,0.00,0.00
Peerless (1951),Fishing trawler,"West Haven, CT",1951,Ambrose Lightship SSE 40 mi,39.91418,-73.58051,,56,16.7,5.3,29,20,0.00,0.00
Pennington,Barge,"Baltimore, MD",1947,New Jersey coast,39.88333,-73.91666,,0,0,0,0,,0.00,0.00
Pentland Firth,Trawler,"Beverly, England",1942,Spermaceti Cove E 5.5 mi,40.42194,-73.86805,Steel,164.4,27.3,14.4,485,424,0.00,0.00
Perasto,Brig Polacre,Trieste,1839,Barnegat S 5 mi,39.68083,-74.12965,Wood,0,0,0,260,,0.00,0.00
Persephone,Tanker,,1942,Barnegat Light NE 2.5 mi,39.78827,-74.07254,Steel,468.7,63.2,35.2,8426,,0.00,0.00
Perserverance (1815),Brig,,1815,Pecks Beach,39.25376,-74.59221,,0,0,0,0,,0.00,400000.00
Philander Armstrong,Schooner,"New Haven, CT",1868,Hereford Inlet Shoals,39.02023,-74.79135,"Oak, cedar",91.8,24.6,8,0,123,0.00,0.00
Phillip J Kenny,Light schooner,,1923,Ambrose Lightship,40.48333,-73.78333,Wood,0,0,0,142,,0.00,0.00
Phoenix (1953),Tanker,"Norfolk, VA",1953,"Delaware River, Reedy Point",39.53818,-75.53738,Steel,556,80.2,0,14179,,0.00,0.00
Pile Driver #6,Pile Driver,,1947,Hereford Inlet E 5.4 mi,39.02722,-74.67944,Steel,60,26,0,100,,0.00,0.00
Pinta,Freighter,"Martenshoek, Denmark",1963,Asbury Park E 5 mi,40.20833,-73.84000,Steel,194,31.6,12.9,500,284,0.00,0.00
Pioneer (1846),Schooner steam,,1846,Squan Beach,40.00044,-74.05395,,0,0,0,0,,0.00,0.00
Pliny,Steamship,"Barrow, England",1882,Deal Beach,40.23611,-73.99166,Iron,288,33.3,24,1671,1060,200000.00,258000.00
Plow City,Freighter,,1942,Cape May E 200 mi,39.13333,-69.95000,,0,0,0,3284,,0.00,0.00
Plymouth (1924),Barge,"Elkton, MD",1924,"Long Branch, NJ",40.27500,-73.93333,,0,0,0,474,444,0.00,0.00
Pocono,Schooner,"Newburgh, NY",1930,"Atlantic Highlands, NJ",40.39164,-73.94075,Steel,156,34.5,16,698,,30000.00,1350.00
Pocopson,Schooner - Barge,"Noank, CT",1936,Shark River Inlet NE 1.5 mi,40.20110,-73.90385,Wood,177,35,14.2,721,623,5000.00,8000.00
Potomac,Brig,,1838,,39.23333,-70.83333,,0,0,0,200,,0.00,0.00
Powhatan (1854),Packet ship,"Baltimore, MD",1854,"Surf City, NJ",39.65967,-74.16305,Wood,132.9,31.7,15.9,598,,18000.00,0.00
Proteus,Passenger freighter,"Newport News, VA",1918,"Diamond Shoals, NC NE 45 mi",34.76530,-75.78350,Steel,390,48,29,4836,,1225000.00,3020.00
Prowess,Schooner,"Brookhaven, NY",1862,Townsends Inlet,39.11518,-74.69828,Wood,0,0,10,267,,0.00,0.00
Quaker City,Large Landing Craft,"Barber, NJ",1962,"ICW Atlantic City, NJ",39.37632,-74.45894,Steel,158.5,23.3,5.4,0,,0.00,0.00
Queen (1850),Steamship,,1850,Bay Head E 2 mi,40.06623,-74.00453,,0,0,0,5500,,0.00,0.00
Queen of the East,Ship,,1860,Squan Inlet S 8.5 mi,39.98056,-74.06079,,0,0,0,0,,0.00,0.00
R G Magill,Schooner,"Bridgeton, NJ",1893,Squan Beach LSS S 1 mi,40.10219,-74.02989,Wood,75,23,5,65.78,62.48,2500.00,600.00
R P Resor,Tanker,"Kearny, NJ",1942,Barnegat Inlet E 32 mi,39.79583,-73.43055,Steel,435.04,66.8,34.2,7451,4620,0.00,0.00
R W Dillon,Schooner,,1869,Townsends Inlet,39.11352,-74.70609,,0,0,0,0,,0.00,0.00
Raena,Launch gas,,1908,Barnegat LSS E 1.5 mi,39.75727,-74.07597,,0,0,0,0,,400.00,0.00
Ramos,Schooner - Barge,"Morgan City, LA",1933,"Spermaceti Cove, NJ",40.42416,-73.90166,Wood,227.2,37.5,18.7,1208,1145,0.00,0.00
Ranald,Steamer cargo ,"Dumbarton, England",1901,Atlantic City E 1.5 mi,38.93353,-74.89837,Iron,305,34.8,24.4,2008,1264,0.00,0.00
Rebecca & Francis (1775),Transport,,1775,Brigantine Beach,39.46725,-74.31784,Wood,0,0,0,293,,0.00,0.00
Reco,Sloop,,1909,Cold Spring LSS E .5 mi,38.93353,-74.89837,,0,0,0,0,,400.00,0.00
Recta,Steamship,"Sunderland, England",1893,Cold Spring LSS SW 4 mi,38.89814,-74.96806,,313,40.1,29.4,2921,1913,100000.00,15000.00
Red Dragon,Sloop,"Atlantic City, NJ",1903,Harvey Cedars LSS S 1 mi,39.66134,-74.15373,,34.2,13.9,4,8,8,0.00,0.00
Reel E Bugging,Comm Fishing Vessel,,2020,Barnegat Light E 34 mi,39.75733,-73.46194,Fiberglass,51,16,9,0,30,0.00,0.00
Reform,Schooner,,1845,Sandy Hook E 1 mi,40.46562,-73.96587,,0,0,0,0,,0.00,0.00
Register,Schooner,,1846,"Long Branch, NJ",40.30506,-73.97591,,0,0,0,100,,0.00,0.00
Reliable,Motor vessel diesel,,1948,Barnegat Light E 8 mi,39.79138,-73.84861,Wood,104,15,0,79,,0.00,0.00
Reliance (1933),Lighter,,1933,"Boston, MA E",42.35694,-70.70000,,0,0,0,0,,0.00,0.00
Reliance (1944),Schooner,,1944,Fenwick Island,38.40441,-74.96983,,0,0,0,0,,0.00,0.00
Reliance (1960),Blimp,"Akron, OH",1960,Barnegat E 16 mi,39.77392,-73.80000,,0,0,0,0,,0.00,0.00
Relief Lightship #505,Relief Lightship,"Camden, NJ",1960,Ambrose Channel,40.45305,-73.81222,Steel,129,28,14,631,,0.00,0.00
Republic (1886),Schooner,"Milton, DE",1886,Seabright LSS S 1.5 mi,40.35762,-73.97168,,0,0,0,66.25,,4000.00,275.00
Reynolds,Steamer cargo ,"Dumbarton, England",1901,Atlantic City E 1.5 mi,39.33333,-74.40972,Iron,305,34.8,24.4,2008,1264,0.00,0.00
Rhine,Square Rigged Ship,,1840,Ocean City,39.26730,-74.58507,Wood,0,0,0,0,,0.00,0.00
Rhodella Blew (1884),Schooner,"Mauricetown, NJ",1884,Cape May LSS E 3 mi,38.93242,-74.90422,,0,0,0,184.43,173.21,5000.00,0.00
Richmond (1897),Schooner,"Richmond, ME",1897,Spring Lake LSS S 1 mi,40.14103,-74.02389,,75.1,23.7,7.3,99.71,94.72,1500.00,300.00
Right Arm,Steamship,"Athens, NY",1923,Atlantic City,39.33684,-74.45687,,124.4,27,10.5,238,193,0.00,0.00
Rio Tercero,Freighter,"Newcastle, England",1942,Great Egg Inlet E 90 mi,39.25000,-73.50000,,305.1,45.1,23.5,0,4866,0.00,0.00
Rival (1904),Schooner,"Essex, MA",1904,Brigantine Shoal,39.39296,-74.37517,Wood,102.3,24.4,10.6,122,91,15000.00,2000.00
Rjukan,Sailing ship,"Boston, MA",1876,Ocean Park,40.21111,-74.00000,Wood,184.6,36.6,22.2,960,,25000.00,0.00
Robert Campbell,Barge,,1909,Cold Spring LSS W .5 mi,38.92929,-74.91682,,0,0,0,0,,3000.00,0.00
Robert H Mitchell,Schooner,"Dorchester Cty, MD",1894,Seabright LSS E 2 mi,40.38095,-73.93696,,104,28.6,7.1,164,155.48,5000.00,1030.00
Robert J Walker,Sidewheel steam,"Pittsburgh, PA",1860,Absecon Beach E 12 mi,39.21766,-74.30588,Iron,134,30.8,0,358,,0.00,0.00
Rockaway,Steamer Excursion ,"Norfolk, VA",1877,Atlantic City,39.34833,-74.41000,,285,64,11.5,1950,,0.00,0.00
Rodman R Nickerson,Schooner 3 masted,"Boston, MA",1894,Seven Mile Beach,39.08570,-74.72042,Wood,160.9,35,13.6,509.1,483.66,30000.00,3000.00
Rodney,Schooner,,1836,Toms River E 50 mi,40.00000,-73.16667,,0,0,0,0,,0.00,0.00
Russell #21,Barge,"Brooklyn, NY",1945,Egg Harbor E 14 mi,39.46666,-74.03333,,208,40,12,910,91,0.00,0.00
Ruth Shaw (1939),Barge,,1939,Sandy Hook Light E 11 mi,40.48333,-73.75000,,200,24,0,485,485,0.00,0.00
S 21,Motor vessel diesel,,1972,"Portland, ME E",43.61472,-69.99000,,0,0,0,0,,0.00,0.00
S 5,Submarine,"Portsmouth, NH",1920,Cape May SE 60 mi,38.30690,-74.13883,,0,0,0,0,,0.00,0.00
S N Smith (1869),Schooner,"Patchogue, NY",1869,Corsons Inlet bar,39.20527,-74.63874,Wood,0,0,8.5,137,,0.00,0.00
Sadie,Bark,"Short Harbor, NS",1879,Point Pleasant LSS E .75 mi,40.06705,-74.02849,,140.7,30.2,16.9,514.17,,15000.00,0.00
Saetia,Freighter,"Wilmington, DE",1918,Delaware Bay entrance,38.22333,-74.75611,,0,0,0,0,,0.00,0.00
Sagamore,Tug,"Bath, ME",1937,Brigantine Shoal E 3 mi,39.39330,-74.20000,Wood,85.1,20.2,8.6,115,87,0.00,0.00
Sagua (1914),Schooner - Barge,"Bath, ME",1914,,39.83333,-72.16666,,0,0,0,0,,0.00,0.00
Saint Agustine USS,Gunboat steam,"Newport News, VA",1944,Cape May,38.86409,-74.70705,,0,0,0,0,,0.00,0.00
Salem (1932),Barge,"Bethel, DE",1932,Brigantine Shoal N 1 mi,39.41422,-74.35147,,0,0,0,0,,0.00,0.00
Salisbury,Steamship,"Newcastle, England",1885,Brigantine Shoal,39.40000,-74.30000,,0,0,0,0,,0.00,0.00
Sallie and Eliza,Sloop,"Somers Point, NJ",1892,Pecks Beach E .3 mi,39.24051,-74.60319,,28.6,11.2,7.9,6.01,5.91,300.00,0.00
Sallie C Morton,Schooner,"Chester, PA",1888,Cape May LSS SE 2 mi,38.88333,-74.87166,,0,0,0,0,,0.00,0.00
Sally (1769),Sloop,,1769,Barnegat S .25 mi,39.74611,-74.08388,,0,0,0,0,,0.00,0.00
Sally (1910),Sloop,"Port Washington, NY",1910,"Little Beach LSS, Brigantine S 1.5 mi",39.43741,-74.31804,,58.2,19.4,4.9,29,28,3000.00,700.00
Sam and Priscilla,Schooner diesel,"East Boothbay, ME",1931,Brigantine Shoal,39.41074,-74.34154,,53.4,14,7,28,19,15000.00,0.00
Samuel C Holmes (1906),Schooner,,1906,Long Branch LSS S .5 mi,40.25916,-73.98435,,79.6,25,5.8,79,,2000.00,225.00
Samuel H Sharp (1907),Schooner,"Mauricetown, NJ",1907,Cape May LSS SSE 2.5 mi,38.92993,-74.91294,Wood,114.4,28.9,9.9,236,207,3000.00,1000.00
Samuel L Storer,Schooner,"Greenpoint, NY",1900,Ocean City LSS E 1.25 mi,39.27737,-74.53807,,66,21.2,9,59,56,6000.00,1000.00
Samuel Warren,Schooner,"Frederica, DE",1880,Little Egg LSS,39.50909,-74.30650,,0,0,0,88,,3000.00,125.00
Samuel Willets,Sloop - packet ship,"Mystic, CT",1857,Squan Inlet S 8 mi,39.98740,-74.05702,Wood,0,0,19,1386,,80000.00,0.00
San Diego USS,Armored Cruiser,"San Francisco, CA",1918,Fire Island S 10 mi,40.50642,-73.06116,Steel,503,69.5,26,13680,,0.00,0.00
San Jose,Freighter steam,"Belfast, Ireland",1942,Atlantic City SE 14 mi,39.24416,-74.14444,Steel,330,44.6,31,3358,1932,0.00,0.00
San Saba,Freighter,"Chester, PA",1918,Barnegat Light E 15 mi,39.69916,-73.95222,Steel,306,39,21,2458,,0.00,0.00
Sandy Hook (1939),Pilot boat,"Elizabeth, NJ",1939,Sandy Hook E 8.25 mi,40.45916,-73.82555,Steel,168.6,34,23,361,213,0.00,0.00
Santa Elisa,Freighter,"Kearny, NJ",1942,Atlantic City SE 14 mi,39.24416,-74.18243,Steel,459,63,17.6,8379,,0.00,0.00
Sarah A Green,Schooner,"East Boston, MA",1868,"Ludlams Beach, NJ",39.15333,-74.68666,,0,0,0,94,,0.00,0.00
Sarah E Ward,Schooner,,1900,"Wilmington, NC E",34.05000,-75.01666,,0,0,0,0,,0.00,0.00
SC-209,Submarine Chaser,"Camden, NJ",1918,Long Island S,40.13333,-73.20000,Steel,110,14.9,5.8,85,,0.00,0.00
Schopocan,Barge,,1925,Mounmouth Beach E 5 mi,40.33333,-73.86111,,0,0,0,0,,0.00,0.00
Sea Girt,Motor vessel,"Camden, NJ",1959,Ocean City E .5 mi,39.21833,-74.62083,Steel,125,21.6,10.3,177,101,0.00,0.00
Sea Hag,Motor vessel diesel,"New York, NY",1949,Barnegat Light E 16.3 mi,39.77916,-73.79277,,104.3,14.9,8.3,81,56,0.00,0.00
Sea King (1896),Tug steam,"Philadelphia, PA",1896,Avalon LSS E 1 mi,39.09809,-74.70141,,92.6,21,10,123.26,61.63,30000.00,0.00
Sea King (1963),Motor vessel,"Bristol, RI",1963,Barnegat Inlet S 100 yds,39.75401,-74.10351,Wood,95.9,21.7,11.2,156,106,0.00,0.00
Sea Port,Barge,,1957,Sandy Hook,40.47133,-73.95905,,132,36.5,12,523,523,0.00,0.00
Sea Wolf,Fishing boat,"Morehead City, NC",2010,Cape May S 7 mi,38.82194,-74.98333,,0,0,0,0,,0.00,0.00
Seagoing Dredge,Dredge,,1927,Avalon E 4 mi,39.05777,-74.65805,,0,0,0,0,,0.00,0.00
Severn (1774),Sloop,,1774,"Roosevelt Inlet, Lewes, DE",38.79208,-75.16108,Wood,0,0,0,0,,0.00,0.00
Sharon,Brig,"Truro, NS",1870,Sandy Hook ESE 70 mi,39.45000,-72.00000,,113,26,12.8,0,271,0.00,0.00
Shekinah (1885),Schooner,"Millville, NJ",1885,Tathams LSS S 1 mi,39.02918,-74.77315,Wood,80.6,22.3,6,83.5,,3500.00,2000.00
Shetucket,Steamship,"Norwich, CT",1870,Cape May,38.92972,-74.91666,,0,0,0,0,,0.00,0.00
Siam,Bark,"Grangemouth, Scotland",1896,Fenwick Shoal,38.45777,-74.93416,,0,0,0,0,,0.00,0.00
Silvanus,Schooner - Barge,"Newington, NH",1921,"Monmouth Beach, Long Branch",40.33771,-73.97123,Wood,267.3,46,23.6,2202,2095,90000.00,18382.00
Silver Lake,Schooner,"Woodbury, ME",1868,Hereford Inlet,38.99444,-74.50000,,0,0,0,0,,0.00,0.00
Silver Spray,Sloop,,1872,Cape May Beach,38.92221,-74.88071,,0,0,0,0,,0.00,0.00
Simla,Schooner,"Portsmouth, NH",1877,Harvey Cedars LSS S 1 mi,39.66278,-74.16122,Wood,179,36,23,1110,,54000.00,0.00
Sindia,Bark,"Belfast, Ireland",1901,"Ocean City, NJ",39.26841,-74.58422,Steel,329.3,45.2,26.7,3068,2929,100000.00,500000.00
Sommerstadt,Steamship,"Newcastle, England",1918,Fire Island SE 25 mi,40.12333,-73.87166,Steel,340,47.1,27.3,3875,,0.00,0.00
South Carolina (1874),Sidewheel steam,"Boston, MA",1874,Barnegat Shoal,39.76036,-74.09531,Iron,260,35,12,1650,,230000.00,90000.00
Southern Sword,Barge,"Superior, WI",1946,Fenwick Island,38.61277,-74.94777,,0,0,0,0,,0.00,0.00
Sovereign (1835),Packet ship,"New York, NY",1835,Squan Beach,39.97916,-74.03333,,124.2,28.8,14.4,462,,0.00,0.00
Spanish Wreck,Passenger cargo ship,"London, England",1890,Barnegat Inlet E 8 mi,39.78777,-73.92471,Iron,287,38,27,2458,1388,400000.00,350000.00
Spartan Lady,Tanker,"Schiedam, Netherlands",1975,Cape May E 250 mi,39.03333,-71.00000,Steel,557.8,73.1,30.6,12689,,0.00,0.00
St Jago,Bark,"Portland, ME",1868,Townsends Inlet,39.10793,-74.70085,,105,26,12.6,222,,0.00,0.00
St Patrick,Packet ship,"Newburyport, ME",1854,Barnegat Inlet S 2 mi,39.73188,-74.11564,Wood,0,0,0,1149,,45000.00,0.00
St Rita,Motor vessel diesel,"Friendship, ME",1955,Ambrose Lightship E 120 mi,39.16666,-72.10000,Wood,72,18.5,7.4,52,,0.00,0.00
Stephen Harding,Schooner 3 masted,"Damariscotta, ME",1880,Spermaceti Cove LSS N 1 mi,40.43937,-73.97930,,121.5,31.6,10.1,305,,13000.00,5000.00
Stiletto,Motor vessel diesel,"Gloucester, MA",1930,Forked River LSS,39.80402,-74.09066,,105.7,24.8,11.7,136,91,0.00,0.00
Stolt Dagali,Tanker,"Copenhagen, Denmark",1964,Asbury Park E 10 mi,40.11138,-73.67388,Steel,582.7,70.1,30,12723,11150,0.00,0.00
Strathdene,Freighter,"Greenock, Scotland",1916,Nantucket Lightship SE 20 mi,40.32500,-69.34500,Steel,375.3,52.1,0,4321,,0.00,0.00
Subchaser 60,Submarine Chaser,"New York, NY",1918,Shrewsbury Rocks N 2 mi,40.37388,-73.94277,Wood,110,14,5,77,,0.00,0.00
